start_time,cell_count,Unique_ID,date,temperature,P.treatment,replicate,unique_number,start.time,time_since_innoc,time_since_innoc_days,time_since_innoc_hours
2016-07-05T10:45:41Z,58965.0,29,JULY5,16,DEF,4,29.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:45:41 UTC,4.854143518518518,116.49944444444445
2016-06-30T15:41:03Z,4562.0,29,JUNE30,16,DEF,4,29.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:41:03 UTC,0.05925925925925926,1.4222222222222223
2016-07-06T11:26:50Z,308094.0,3,lst,24,FULL,3,43.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 11:26:50 UTC,5.882719907407408,141.18527777777777
2016-07-03T13:31:45Z,125344.0,3,JULY3,24,FULL,3,43.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 13:31:45 UTC,2.9694675925925926,71.26722222222222
2016-07-06T12:35:30Z,151545.0,30,lst,16,DEF,5,30.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-06 12:35:30 UTC,5.930405092592593,142.32972222222222
2016-07-04T14:06:39Z,31701.0,30,JULY4,16,DEF,5,30.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-04 14:06:39 UTC,3.9937037037037038,95.8488888888889
2016-07-05T10:46:56Z,65191.0,30,JULY5,16,DEF,5,30.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-05 10:46:56 UTC,4.855011574074074,116.52027777777778
2016-06-30T15:42:36Z,5543.0,30,JUNE30,16,DEF,5,30.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-06-30 15:42:36 UTC,0.060335648148148145,1.4480555555555557
2016-07-01T17:07:23Z,3965.0,31,JULY1,8,FULL,1,1.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-01 17:07:23 UTC,1.119212962962963,26.86111111111111
2016-07-02T11:07:17Z,3189.0,31,JULY2,8,FULL,1,1.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-02 11:07:17 UTC,1.8691435185185186,44.85944444444444
2016-07-03T15:31:59Z,1961.0,31,JULY3,8,FULL,1,1.0,2016-06-30T14:15:43Z,2016-06-30 14:15:43 UTC--2016-07-03 15:31:59 UTC,3.052962962962963,73.27111111111111
